id,name,email,openId,barangay
1,"Pedro Castro","pedro.castro@calauan.local","demo-farmer-1","Dila"
2,"Carmen Villanueva","carmen.villanueva@calauan.local","demo-farmer-2","Bungkol"
3,"Jose Garcia","jose.garcia@calauan.local","demo-farmer-3","Talolong"
4,"Dolores Mendoza","dolores.mendoza@calauan.local","demo-farmer-4","Poblacion 1"
5,"Manuel Diaz","manuel.diaz@calauan.local","demo-farmer-5","Dayap"
6,"Rosa Cruz","rosa.cruz@calauan.local","demo-farmer-6","Palina"
7,"Manuel Villanueva","manuel.villanueva@calauan.local","demo-farmer-7","Lamot 2"
8,"Ramon Herrera","ramon.herrera@calauan.local","demo-farmer-8","Silangan Talaongan"
9,"Teresa Villanueva","teresa.villanueva@calauan.local","demo-farmer-9","Dila"
10,"Alfredo Santos","alfredo.santos@calauan.local","demo-farmer-10","Lamot 1"
11,"Ramon Jimenez","ramon.jimenez@calauan.local","demo-farmer-11","Poblacion 1"
12,"Ana Garcia","ana.garcia@calauan.local","demo-farmer-12","Masili"
13,"Ramon Castro","ramon.castro@calauan.local","demo-farmer-13","Dayap"
14,"Carlos Fernandez","carlos.fernandez@calauan.local","demo-farmer-14","Poblacion 4"
15,"Francisco Cruz","francisco.cruz@calauan.local","demo-farmer-15","Palina"
16,"Ramon Jimenez","ramon.jimenez@calauan.local","demo-farmer-16","Palina"
17,"Gloria Torres","gloria.torres@calauan.local","demo-farmer-17","Calumpang"
18,"Concepcion Santos","concepcion.santos@calauan.local","demo-farmer-18","Masili"
19,"Miguel Garcia","miguel.garcia@calauan.local","demo-farmer-19","Poblacion 4"
20,"Ana Sanchez","ana.sanchez@calauan.local","demo-farmer-20","Lamot 2"
21,"Rosa Jimenez","rosa.jimenez@calauan.local","demo-farmer-21","Masili"
22,"Juan Santos","juan.santos@calauan.local","demo-farmer-22","Poblacion 1"
23,"Maria Perez","maria.perez@calauan.local","demo-farmer-23","Kanluran Talaongan"
24,"Rosa Villanueva","rosa.villanueva@calauan.local","demo-farmer-24","Poblacion 4"
25,"Manuel Santos","manuel.santos@calauan.local","demo-farmer-25","Poblacion 3"
26,"Francisco Mendoza","francisco.mendoza@calauan.local","demo-farmer-26","Lamot 1"
27,"Roberto Fernandez","roberto.fernandez@calauan.local","demo-farmer-27","Santo Tomas"
28,"Carlos Fernandez","carlos.fernandez@calauan.local","demo-farmer-28","Dila"
29,"Pedro Santos","pedro.santos@calauan.local","demo-farmer-29","Lamot 2"
30,"Alfredo Gonzalez","alfredo.gonzalez@calauan.local","demo-farmer-30","Kanluran Talaongan"
31,"Roberto Lopez","roberto.lopez@calauan.local","demo-farmer-31","Lamot 2"
32,"Patricia Mendoza","patricia.mendoza@calauan.local","demo-farmer-32","Poblacion 1"
33,"Roberto Lopez","roberto.lopez@calauan.local","demo-farmer-33","Lamot 1"
34,"Antonio Morales","antonio.morales@calauan.local","demo-farmer-34","Bungkol"
35,"Pedro Gutierrez","pedro.gutierrez@calauan.local","demo-farmer-35","Poblacion 4"
36,"Ricardo Villanueva","ricardo.villanueva@calauan.local","demo-farmer-36","Poblacion 4"
37,"Ramon Jimenez","ramon.jimenez@calauan.local","demo-farmer-37","Poblacion 1"
38,"Patricia Perez","patricia.perez@calauan.local","demo-farmer-38","Silangan Talaongan"
39,"Jose Gutierrez","jose.gutierrez@calauan.local","demo-farmer-39","San Isidro"
40,"Concepcion Rivera","concepcion.rivera@calauan.local","demo-farmer-40","Palina"
41,"Ana Mendoza","ana.mendoza@calauan.local","demo-farmer-41","Palina"
42,"Miguel Lopez","miguel.lopez@calauan.local","demo-farmer-42","Kanluran Talaongan"
43,"Pedro Reyes","pedro.reyes@calauan.local","demo-farmer-43","Lamot 1"
44,"Rosa Mendoza","rosa.mendoza@calauan.local","demo-farmer-44","Bubukal"
45,"Luis Aquino","luis.aquino@calauan.local","demo-farmer-45","Poblacion 5"
46,"Gloria Santos","gloria.santos@calauan.local","demo-farmer-46","Lamot 1"
47,"Ramon Torres","ramon.torres@calauan.local","demo-farmer-47","Masili"
48,"Luis Herrera","luis.herrera@calauan.local","demo-farmer-48","Talolong"
49,"Teresa Reyes","teresa.reyes@calauan.local","demo-farmer-49","Silangan Talaongan"
50,"Luis Bautista","luis.bautista@calauan.local","demo-farmer-50","Poblacion 3"
51,"Gloria Perez","gloria.perez@calauan.local","demo-farmer-51","Poblacion 1"
52,"Fernando Ortiz","fernando.ortiz@calauan.local","demo-farmer-52","Poblacion 3"
53,"Fernando Cruz","fernando.cruz@calauan.local","demo-farmer-53","Poblacion 3"
54,"Manuel Garcia","manuel.garcia@calauan.local","demo-farmer-54","Santo Tomas"
55,"Juan Ramos","juan.ramos@calauan.local","demo-farmer-55","Poblacion 2"
56,"Francisco Aquino","francisco.aquino@calauan.local","demo-farmer-56","San Isidro"
57,"Gloria Perez","gloria.perez@calauan.local","demo-farmer-57","Poblacion 3"
58,"Gloria Rivera","gloria.rivera@calauan.local","demo-farmer-58","Masili"
59,"Carmen Ramos","carmen.ramos@calauan.local","demo-farmer-59","Dila"
60,"Patricia Gonzalez","patricia.gonzalez@calauan.local","demo-farmer-60","Calumpang"
61,"Antonio Bautista","antonio.bautista@calauan.local","demo-farmer-61","Kanluran Talaongan"
62,"Jose Bautista","jose.bautista@calauan.local","demo-farmer-62","Poblacion 4"
63,"Dolores Fernandez","dolores.fernandez@calauan.local","demo-farmer-63","Bungkol"
64,"Francisco Ramos","francisco.ramos@calauan.local","demo-farmer-64","Poblacion 2"
65,"Luis Fernandez","luis.fernandez@calauan.local","demo-farmer-65","Balayhangin"
66,"Ricardo Lopez","ricardo.lopez@calauan.local","demo-farmer-66","Poblacion 5"
67,"Roberto Sanchez","roberto.sanchez@calauan.local","demo-farmer-67","Poblacion 2"
68,"Francisco Lopez","francisco.lopez@calauan.local","demo-farmer-68","Silangan Talaongan"
69,"Carmen Villanueva","carmen.villanueva@calauan.local","demo-farmer-69","Poblacion 4"
70,"Miguel Diaz","miguel.diaz@calauan.local","demo-farmer-70","Dayap"
71,"Alfredo Ramirez","alfredo.ramirez@calauan.local","demo-farmer-71","Poblacion 1"
72,"Carmen Ramos","carmen.ramos@calauan.local","demo-farmer-72","Palina"
73,"Antonio Reyes","antonio.reyes@calauan.local","demo-farmer-73","Balayhangin"
74,"Miguel Garcia","miguel.garcia@calauan.local","demo-farmer-74","Masili"
75,"Vicente Bautista","vicente.bautista@calauan.local","demo-farmer-75","San Isidro"
76,"Luis Gonzalez","luis.gonzalez@calauan.local","demo-farmer-76","Santo Tomas"
77,"Vicente Reyes","vicente.reyes@calauan.local","demo-farmer-77","Palina"
78,"Ramon Flores","ramon.flores@calauan.local","demo-farmer-78","Masili"
79,"Carmen Castro","carmen.castro@calauan.local","demo-farmer-79","Bungkol"
80,"Dolores Ramirez","dolores.ramirez@calauan.local","demo-farmer-80","Poblacion 3"
81,"Juan Castro","juan.castro@calauan.local","demo-farmer-81","San Isidro"
82,"Concepcion Cruz","concepcion.cruz@calauan.local","demo-farmer-82","Palina"
83,"Antonio Martinez","antonio.martinez@calauan.local","demo-farmer-83","Poblacion 2"
84,"Carlos Aquino","carlos.aquino@calauan.local","demo-farmer-84","Palina"
85,"Alfredo Rivera","alfredo.rivera@calauan.local","demo-farmer-85","Calumpang"
86,"Rosa Fernandez","rosa.fernandez@calauan.local","demo-farmer-86","San Isidro"
87,"Luis Ramos","luis.ramos@calauan.local","demo-farmer-87","Poblacion 5"
88,"Carmen Del Rosario","carmen.del.rosario@calauan.local","demo-farmer-88","Santo Tomas"
89,"Francisco Del Rosario","francisco.del.rosario@calauan.local","demo-farmer-89","Santo Tomas"
90,"Francisco Herrera","francisco.herrera@calauan.local","demo-farmer-90","Dayap"
91,"Mercedes Reyes","mercedes.reyes@calauan.local","demo-farmer-91","Palina"
92,"Rosa Castro","rosa.castro@calauan.local","demo-farmer-92","Masili"
93,"Mercedes Torres","mercedes.torres@calauan.local","demo-farmer-93","Dayap"
94,"Patricia Diaz","patricia.diaz@calauan.local","demo-farmer-94","Silangan Talaongan"
95,"Mercedes Rivera","mercedes.rivera@calauan.local","demo-farmer-95","Poblacion 2"
96,"Luis Ortiz","luis.ortiz@calauan.local","demo-farmer-96","Dayap"
97,"Ramon Diaz","ramon.diaz@calauan.local","demo-farmer-97","Silangan Talaongan"
98,"Rosa Cruz","rosa.cruz@calauan.local","demo-farmer-98","Poblacion 2"
99,"Alfredo Torres","alfredo.torres@calauan.local","demo-farmer-99","San Isidro"
100,"Elena Mendoza","elena.mendoza@calauan.local","demo-farmer-100","Santo Tomas"
101,"Isabel Castro","isabel.castro@calauan.local","demo-farmer-101","Lamot 2"
102,"Gloria Lopez","gloria.lopez@calauan.local","demo-farmer-102","Calumpang"
103,"Concepcion Ramirez","concepcion.ramirez@calauan.local","demo-farmer-103","Poblacion 2"
104,"Dolores Sanchez","dolores.sanchez@calauan.local","demo-farmer-104","Bungkol"
105,"Rosa Santos","rosa.santos@calauan.local","demo-farmer-105","Masili"
106,"Carmen Aquino","carmen.aquino@calauan.local","demo-farmer-106","Masili"
107,"Ricardo Aquino","ricardo.aquino@calauan.local","demo-farmer-107","Bungkol"
108,"Vicente Ramirez","vicente.ramirez@calauan.local","demo-farmer-108","Calumpang"
109,"Vicente Torres","vicente.torres@calauan.local","demo-farmer-109","Poblacion 5"
110,"Rosa Ortiz","rosa.ortiz@calauan.local","demo-farmer-110","San Isidro"
111,"Juan Ortiz","juan.ortiz@calauan.local","demo-farmer-111","Poblacion 2"
112,"Ramon Herrera","ramon.herrera@calauan.local","demo-farmer-112","Poblacion 1"
113,"Maria Flores","maria.flores@calauan.local","demo-farmer-113","Poblacion 2"
114,"Antonio Rivera","antonio.rivera@calauan.local","demo-farmer-114","Poblacion 1"
115,"Rosa Del Rosario","rosa.del.rosario@calauan.local","demo-farmer-115","Poblacion 1"
116,"Carmen Fernandez","carmen.fernandez@calauan.local","demo-farmer-116","Poblacion 4"
117,"Pedro Rivera","pedro.rivera@calauan.local","demo-farmer-117","Palina"
118,"Juan Del Rosario","juan.del.rosario@calauan.local","demo-farmer-118","Lamot 2"
119,"Alfredo Bautista","alfredo.bautista@calauan.local","demo-farmer-119","Dayap"
120,"Rosa Fernandez","rosa.fernandez@calauan.local","demo-farmer-120","Santo Tomas"
121,"Francisco Sanchez","francisco.sanchez@calauan.local","demo-farmer-121","Balayhangin"
122,"Isabel Santos","isabel.santos@calauan.local","demo-farmer-122","Poblacion 1"
123,"Ramon Diaz","ramon.diaz@calauan.local","demo-farmer-123","Santo Tomas"
124,"Manuel Reyes","manuel.reyes@calauan.local","demo-farmer-124","Poblacion 3"
125,"Ricardo Bautista","ricardo.bautista@calauan.local","demo-farmer-125","Bungkol"
126,"Luis Jimenez","luis.jimenez@calauan.local","demo-farmer-126","Palina"
127,"Luis Gonzalez","luis.gonzalez@calauan.local","demo-farmer-127","Kanluran Talaongan"
128,"Manuel Del Rosario","manuel.del.rosario@calauan.local","demo-farmer-128","Masili"
129,"Mercedes Gonzalez","mercedes.gonzalez@calauan.local","demo-farmer-129","San Isidro"
130,"Luis Mendoza","luis.mendoza@calauan.local","demo-farmer-130","Poblacion 1"
131,"Manuel Villanueva","manuel.villanueva@calauan.local","demo-farmer-131","Palina"
132,"Pedro Flores","pedro.flores@calauan.local","demo-farmer-132","Masili"
133,"Rosa Ortiz","rosa.ortiz@calauan.local","demo-farmer-133","Bubukal"
134,"Ricardo Aquino","ricardo.aquino@calauan.local","demo-farmer-134","Santo Tomas"
135,"Luis Gutierrez","luis.gutierrez@calauan.local","demo-farmer-135","Poblacion 1"
136,"Isabel Villanueva","isabel.villanueva@calauan.local","demo-farmer-136","Lamot 1"
137,"Roberto Del Rosario","roberto.del.rosario@calauan.local","demo-farmer-137","Lamot 2"
